a,b,c,triplets_mapped,co
73,66,94,"(73, 66, 94)",1
34,179,381,"(34, 179, 381)",1
73,94,66,"(73, 94, 66)",1
52,375,84,"(52, 375, 84)",1
52,375,30,"(52, 375, 30)",1
52,84,375,"(52, 84, 375)",1
52,30,375,"(52, 30, 375)",1
375,52,84,"(375, 52, 84)",1
375,52,30,"(375, 52, 30)",1
375,84,52,"(375, 84, 52)",1
375,84,30,"(375, 84, 30)",1
34,381,179,"(34, 381, 179)",1
381,34,179,"(381, 34, 179)",1
225,159,220,"(225, 159, 220)",1
304,371,226,"(304, 371, 226)",1
225,159,295,"(225, 159, 295)",1
225,158,220,"(225, 158, 220)",1
225,158,295,"(225, 158, 295)",1
225,295,220,"(225, 295, 220)",1
225,295,159,"(225, 295, 159)",1
225,295,158,"(225, 295, 158)",1
226,304,371,"(226, 304, 371)",1
226,371,304,"(226, 371, 304)",1
304,226,371,"(304, 226, 371)",1
371,226,304,"(371, 226, 304)",1
381,179,34,"(381, 179, 34)",1
371,304,226,"(371, 304, 226)",1
222,79,58,"(222, 79, 58)",1
222,58,79,"(222, 58, 79)",1
79,222,58,"(79, 222, 58)",1
79,58,222,"(79, 58, 222)",1
58,222,79,"(58, 222, 79)",1
58,79,222,"(58, 79, 222)",1
179,381,34,"(179, 381, 34)",1
179,34,381,"(179, 34, 381)",1
195,220,101,"(195, 220, 101)",1
195,260,32,"(195, 260, 32)",1
10,187,343,"(10, 187, 343)",1
195,260,101,"(195, 260, 101)",1
73,364,72,"(73, 364, 72)",1
73,364,14,"(73, 364, 14)",1
162,267,240,"(162, 267, 240)",1
162,129,240,"(162, 129, 240)",1
162,240,267,"(162, 240, 267)",1
162,240,129,"(162, 240, 129)",1
267,162,240,"(267, 162, 240)",1
267,129,240,"(267, 129, 240)",1
267,240,162,"(267, 240, 162)",1
267,240,129,"(267, 240, 129)",1
129,162,240,"(129, 162, 240)",1
129,267,240,"(129, 267, 240)",1
129,240,162,"(129, 240, 162)",1
129,240,267,"(129, 240, 267)",1
240,162,267,"(240, 162, 267)",1
240,162,129,"(240, 162, 129)",1
240,267,162,"(240, 267, 162)",1
240,267,129,"(240, 267, 129)",1
240,129,162,"(240, 129, 162)",1
240,129,267,"(240, 129, 267)",1
260,220,101,"(260, 220, 101)",1
73,14,364,"(73, 14, 364)",1
73,72,364,"(73, 72, 364)",1
364,73,14,"(364, 73, 14)",1
72,364,14,"(72, 364, 14)",1
160,147,220,"(160, 147, 220)",1
160,220,147,"(160, 220, 147)",1
0,14,60,"(0, 14, 60)",1
0,60,14,"(0, 60, 14)",1
14,0,60,"(14, 0, 60)",1
14,60,0,"(14, 60, 0)",1
60,0,14,"(60, 0, 14)",1
60,14,0,"(60, 14, 0)",1
72,14,364,"(72, 14, 364)",1
72,364,73,"(72, 364, 73)",1
364,73,72,"(364, 73, 72)",1
72,73,364,"(72, 73, 364)",1
14,72,364,"(14, 72, 364)",1
14,364,72,"(14, 364, 72)",1
14,364,73,"(14, 364, 73)",1
14,73,364,"(14, 73, 364)",1
364,72,14,"(364, 72, 14)",1
364,72,73,"(364, 72, 73)",1
364,14,72,"(364, 14, 72)",1
364,14,73,"(364, 14, 73)",1
260,220,32,"(260, 220, 32)",1
260,220,195,"(260, 220, 195)",1
260,101,220,"(260, 101, 220)",1
32,260,195,"(32, 260, 195)",1
101,220,195,"(101, 220, 195)",1
101,32,260,"(101, 32, 260)",1
101,32,220,"(101, 32, 220)",1
101,32,195,"(101, 32, 195)",1
101,195,260,"(101, 195, 260)",1
101,195,220,"(101, 195, 220)",1
101,195,32,"(101, 195, 32)",1
32,260,220,"(32, 260, 220)",1
32,260,101,"(32, 260, 101)",1
32,220,260,"(32, 220, 260)",1
101,220,260,"(101, 220, 260)",1
32,220,101,"(32, 220, 101)",1
32,220,195,"(32, 220, 195)",1
32,101,260,"(32, 101, 260)",1
32,101,220,"(32, 101, 220)",1
32,101,195,"(32, 101, 195)",1
32,195,260,"(32, 195, 260)",1
32,195,220,"(32, 195, 220)",1
32,195,101,"(32, 195, 101)",1
195,260,220,"(195, 260, 220)",1
101,220,32,"(101, 220, 32)",1
101,260,195,"(101, 260, 195)",1
260,101,32,"(260, 101, 32)",1
220,260,195,"(220, 260, 195)",1
260,101,195,"(260, 101, 195)",1
260,32,220,"(260, 32, 220)",1
260,32,101,"(260, 32, 101)",1
260,32,195,"(260, 32, 195)",1
260,195,220,"(260, 195, 220)",1
260,195,101,"(260, 195, 101)",1
260,195,32,"(260, 195, 32)",1
220,260,101,"(220, 260, 101)",1
220,260,32,"(220, 260, 32)",1
220,101,260,"(220, 101, 260)",1
101,260,32,"(101, 260, 32)",1
220,101,32,"(220, 101, 32)",1
220,101,195,"(220, 101, 195)",1
220,32,260,"(220, 32, 260)",1
220,32,101,"(220, 32, 101)",1
220,32,195,"(220, 32, 195)",1
220,195,260,"(220, 195, 260)",1
220,195,101,"(220, 195, 101)",1
220,195,32,"(220, 195, 32)",1
101,260,220,"(101, 260, 220)",1
375,30,52,"(375, 30, 52)",1
375,30,84,"(375, 30, 84)",1
84,52,375,"(84, 52, 375)",1
84,375,52,"(84, 375, 52)",1
229,228,74,"(229, 228, 74)",1
229,171,74,"(229, 171, 74)",1
229,74,228,"(229, 74, 228)",1
229,74,171,"(229, 74, 171)",1
228,229,74,"(228, 229, 74)",1
228,171,74,"(228, 171, 74)",1
228,74,229,"(228, 74, 229)",1
228,74,171,"(228, 74, 171)",1
171,229,74,"(171, 229, 74)",1
171,228,74,"(171, 228, 74)",1
171,74,229,"(171, 74, 229)",1
171,74,228,"(171, 74, 228)",1
74,229,228,"(74, 229, 228)",1
74,229,171,"(74, 229, 171)",1
74,228,229,"(74, 228, 229)",1
74,228,171,"(74, 228, 171)",1
74,171,229,"(74, 171, 229)",1
74,171,228,"(74, 171, 228)",1
215,31,30,"(215, 31, 30)",1
215,69,30,"(215, 69, 30)",1
215,30,31,"(215, 30, 31)",1
68,343,243,"(68, 343, 243)",1
68,243,343,"(68, 243, 343)",1
343,68,243,"(343, 68, 243)",1
68,195,512,"(68, 195, 512)",1
26,60,464,"(26, 60, 464)",1
26,464,60,"(26, 464, 60)",1
60,26,464,"(60, 26, 464)",1
60,464,26,"(60, 464, 26)",1
464,26,60,"(464, 26, 60)",1
464,60,26,"(464, 60, 26)",1
512,68,195,"(512, 68, 195)",1
512,195,68,"(512, 195, 68)",1
68,512,195,"(68, 512, 195)",1
195,512,68,"(195, 512, 68)",1
343,243,68,"(343, 243, 68)",1
195,68,512,"(195, 68, 512)",1
137,394,42,"(137, 394, 42)",1
137,42,394,"(137, 42, 394)",1
394,137,42,"(394, 137, 42)",1
394,42,137,"(394, 42, 137)",1
42,137,394,"(42, 137, 394)",1
42,394,137,"(42, 394, 137)",1
243,343,68,"(243, 343, 68)",1
243,68,343,"(243, 68, 343)",1
215,30,69,"(215, 30, 69)",1
31,215,30,"(31, 215, 30)",1
31,30,215,"(31, 30, 215)",1
187,10,300,"(187, 10, 300)",1
300,187,10,"(300, 187, 10)",1
300,343,187,"(300, 343, 187)",1
300,343,10,"(300, 343, 10)",1
300,10,187,"(300, 10, 187)",1
300,10,343,"(300, 10, 343)",1
187,300,343,"(187, 300, 343)",1
187,300,10,"(187, 300, 10)",1
187,343,300,"(187, 343, 300)",1
187,343,10,"(187, 343, 10)",1
187,10,343,"(187, 10, 343)",1
134,133,330,"(134, 133, 330)",1
343,300,187,"(343, 300, 187)",1
343,300,10,"(343, 300, 10)",1
343,187,300,"(343, 187, 300)",1
343,187,10,"(343, 187, 10)",1
343,10,300,"(343, 10, 300)",1
343,10,187,"(343, 10, 187)",1
10,300,187,"(10, 300, 187)",1
10,300,343,"(10, 300, 343)",1
10,187,300,"(10, 187, 300)",1
300,187,343,"(300, 187, 343)",1
134,133,277,"(134, 133, 277)",1
69,215,30,"(69, 215, 30)",1
330,277,134,"(330, 277, 134)",1
69,30,215,"(69, 30, 215)",1
30,215,31,"(30, 215, 31)",1
30,215,69,"(30, 215, 69)",1
30,31,215,"(30, 31, 215)",1
30,69,215,"(30, 69, 215)",1
277,330,134,"(277, 330, 134)",1
277,133,134,"(277, 133, 134)",1
277,134,330,"(277, 134, 330)",1
277,134,133,"(277, 134, 133)",1
330,133,134,"(330, 133, 134)",1
134,330,133,"(134, 330, 133)",1
330,134,277,"(330, 134, 277)",1
330,134,133,"(330, 134, 133)",1
133,277,134,"(133, 277, 134)",1
133,330,134,"(133, 330, 134)",1
133,134,277,"(133, 134, 277)",1
133,134,330,"(133, 134, 330)",1
134,277,330,"(134, 277, 330)",1
134,277,133,"(134, 277, 133)",1
134,330,277,"(134, 330, 277)",1
62,29,93,"(62, 29, 93)",1
62,29,40,"(62, 29, 40)",1
62,93,29,"(62, 93, 29)",1
3,73,68,"(3, 73, 68)",1
199,3,73,"(199, 3, 73)",1
199,3,68,"(199, 3, 68)",1
199,73,3,"(199, 73, 3)",1
199,73,68,"(199, 73, 68)",1
199,68,3,"(199, 68, 3)",1
199,68,73,"(199, 68, 73)",1
3,199,73,"(3, 199, 73)",1
3,199,68,"(3, 199, 68)",1
3,73,199,"(3, 73, 199)",1
3,68,199,"(3, 68, 199)",1
396,126,496,"(396, 126, 496)",1
3,68,73,"(3, 68, 73)",1
73,199,3,"(73, 199, 3)",1
73,199,68,"(73, 199, 68)",1
73,3,199,"(73, 3, 199)",1
73,3,68,"(73, 3, 68)",1
73,68,199,"(73, 68, 199)",1
73,68,3,"(73, 68, 3)",1
68,199,3,"(68, 199, 3)",1
68,199,73,"(68, 199, 73)",1
396,496,126,"(396, 496, 126)",1
496,396,126,"(496, 396, 126)",1
68,3,73,"(68, 3, 73)",1
257,105,52,"(257, 105, 52)",1
84,375,30,"(84, 375, 30)",1
84,30,375,"(84, 30, 375)",1
30,52,375,"(30, 52, 375)",1
30,375,52,"(30, 375, 52)",1
30,375,84,"(30, 375, 84)",1
30,84,375,"(30, 84, 375)",1
52,257,105,"(52, 257, 105)",1
52,105,257,"(52, 105, 257)",1
257,52,105,"(257, 52, 105)",1
105,52,257,"(105, 52, 257)",1
496,126,396,"(496, 126, 396)",1
105,257,52,"(105, 257, 52)",1
281,257,42,"(281, 257, 42)",1
281,42,257,"(281, 42, 257)",1
257,281,42,"(257, 281, 42)",1
257,42,281,"(257, 42, 281)",1
42,281,257,"(42, 281, 257)",1
42,257,281,"(42, 257, 281)",1
126,496,396,"(126, 496, 396)",1
126,396,496,"(126, 396, 496)",1
68,3,199,"(68, 3, 199)",1
68,73,199,"(68, 73, 199)",1
62,40,29,"(62, 40, 29)",1
40,62,29,"(40, 62, 29)",1
158,230,134,"(158, 230, 134)",1
158,134,230,"(158, 134, 230)",1
230,158,134,"(230, 158, 134)",1
230,134,158,"(230, 134, 158)",1
134,158,230,"(134, 158, 230)",1
134,230,158,"(134, 230, 158)",1
40,93,29,"(40, 93, 29)",1
40,29,93,"(40, 29, 93)",1
40,29,62,"(40, 29, 62)",1
93,40,29,"(93, 40, 29)",1
45,289,43,"(45, 289, 43)",1
93,29,40,"(93, 29, 40)",1
93,29,62,"(93, 29, 62)",1
93,62,29,"(93, 62, 29)",1
29,40,93,"(29, 40, 93)",1
29,40,62,"(29, 40, 62)",1
29,93,40,"(29, 93, 40)",1
29,93,62,"(29, 93, 62)",1
29,62,40,"(29, 62, 40)",1
29,62,93,"(29, 62, 93)",1
45,43,289,"(45, 43, 289)",1
43,45,289,"(43, 45, 289)",1
68,73,3,"(68, 73, 3)",1
154,11,135,"(154, 11, 135)",1
11,35,154,"(11, 35, 154)",1
11,154,35,"(11, 154, 35)",1
11,154,135,"(11, 154, 135)",1
11,135,154,"(11, 135, 154)",1
35,11,154,"(35, 11, 154)",1
35,154,11,"(35, 154, 11)",1
35,154,135,"(35, 154, 135)",1
35,135,154,"(35, 135, 154)",1
154,11,35,"(154, 11, 35)",1
154,35,11,"(154, 35, 11)",1
43,289,45,"(43, 289, 45)",1
154,35,135,"(154, 35, 135)",1
154,135,11,"(154, 135, 11)",1
154,135,35,"(154, 135, 35)",1
135,11,154,"(135, 11, 154)",1
135,35,154,"(135, 35, 154)",1
135,154,11,"(135, 154, 11)",1
135,154,35,"(135, 154, 35)",1
289,43,45,"(289, 43, 45)",1
289,45,43,"(289, 45, 43)",1
142,155,271,"(142, 155, 271)",1
142,147,271,"(142, 147, 271)",1
4,147,24,"(4, 147, 24)",1
150,126,304,"(150, 126, 304)",1
191,14,30,"(191, 14, 30)",1
191,15,14,"(191, 15, 14)",1
191,15,30,"(191, 15, 30)",1
191,30,14,"(191, 30, 14)",1
191,30,15,"(191, 30, 15)",1
30,14,191,"(30, 14, 191)",1
30,15,191,"(30, 15, 191)",1
30,191,14,"(30, 191, 14)",1
30,191,15,"(30, 191, 15)",1
31,365,46,"(31, 365, 46)",1
31,365,70,"(31, 365, 70)",1
31,365,130,"(31, 365, 130)",1
31,46,365,"(31, 46, 365)",1
31,70,365,"(31, 70, 365)",1
31,70,130,"(31, 70, 130)",1
31,130,365,"(31, 130, 365)",1
31,130,70,"(31, 130, 70)",1
365,31,46,"(365, 31, 46)",1
365,31,70,"(365, 31, 70)",1
365,31,130,"(365, 31, 130)",1
365,46,31,"(365, 46, 31)",1
191,14,15,"(191, 14, 15)",1
15,30,191,"(15, 30, 191)",1
15,191,30,"(15, 191, 30)",1
225,374,126,"(225, 374, 126)",1
150,374,126,"(150, 374, 126)",1
150,374,304,"(150, 374, 304)",1
150,374,225,"(150, 374, 225)",1
150,304,126,"(150, 304, 126)",1
150,304,374,"(150, 304, 374)",1
150,225,126,"(150, 225, 126)",1
150,225,374,"(150, 225, 374)",1
225,126,374,"(225, 126, 374)",1
225,126,150,"(225, 126, 150)",1
225,374,304,"(225, 374, 304)",1
15,191,14,"(15, 191, 14)",1
225,374,150,"(225, 374, 150)",1
225,304,374,"(225, 304, 374)",1
225,150,126,"(225, 150, 126)",1
225,150,374,"(225, 150, 374)",1
14,15,191,"(14, 15, 191)",1
14,191,15,"(14, 191, 15)",1
14,191,30,"(14, 191, 30)",1
14,30,191,"(14, 30, 191)",1
15,14,191,"(15, 14, 191)",1
365,46,70,"(365, 46, 70)",1
365,46,130,"(365, 46, 130)",1
365,70,31,"(365, 70, 31)",1
2,35,94,"(2, 35, 94)",1
130,365,31,"(130, 365, 31)",1
130,365,46,"(130, 365, 46)",1
130,365,70,"(130, 365, 70)",1
130,46,365,"(130, 46, 365)",1
130,46,70,"(130, 46, 70)",1
130,70,31,"(130, 70, 31)",1
130,70,365,"(130, 70, 365)",1
130,70,46,"(130, 70, 46)",1
2,35,12,"(2, 35, 12)",1
2,12,35,"(2, 12, 35)",1
130,31,365,"(130, 31, 365)",1
2,94,35,"(2, 94, 35)",1
35,2,12,"(35, 2, 12)",1
35,2,94,"(35, 2, 94)",1
35,12,2,"(35, 12, 2)",1
35,94,2,"(35, 94, 2)",1
12,2,35,"(12, 2, 35)",1
12,35,2,"(12, 35, 2)",1
94,2,35,"(94, 2, 35)",1
94,35,2,"(94, 35, 2)",1
130,31,70,"(130, 31, 70)",1
70,130,46,"(70, 130, 46)",1
365,70,46,"(365, 70, 46)",1
46,70,130,"(46, 70, 130)",1
365,70,130,"(365, 70, 130)",1
365,130,31,"(365, 130, 31)",1
365,130,46,"(365, 130, 46)",1
365,130,70,"(365, 130, 70)",1
46,31,365,"(46, 31, 365)",1
46,365,31,"(46, 365, 31)",1
46,365,70,"(46, 365, 70)",1
46,365,130,"(46, 365, 130)",1
46,70,365,"(46, 70, 365)",1
46,130,365,"(46, 130, 365)",1
70,130,365,"(70, 130, 365)",1
46,130,70,"(46, 130, 70)",1
70,31,365,"(70, 31, 365)",1
70,31,130,"(70, 31, 130)",1
70,365,31,"(70, 365, 31)",1
70,365,46,"(70, 365, 46)",1
70,365,130,"(70, 365, 130)",1
70,46,365,"(70, 46, 365)",1
70,46,130,"(70, 46, 130)",1
70,130,31,"(70, 130, 31)",1
150,126,225,"(150, 126, 225)",1
150,126,374,"(150, 126, 374)",1
329,295,108,"(329, 295, 108)",1
304,225,374,"(304, 225, 374)",1
276,155,406,"(276, 155, 406)",1
276,406,155,"(276, 406, 155)",1
406,155,276,"(406, 155, 276)",1
406,276,155,"(406, 276, 155)",1
52,94,51,"(52, 94, 51)",1
52,51,94,"(52, 51, 94)",1
94,52,51,"(94, 52, 51)",1
94,50,51,"(94, 50, 51)",1
94,50,123,"(94, 50, 123)",1
94,51,52,"(94, 51, 52)",1
94,51,50,"(94, 51, 50)",1
94,51,123,"(94, 51, 123)",1
94,123,50,"(94, 123, 50)",1
94,123,51,"(94, 123, 51)",1
50,94,51,"(50, 94, 51)",1
50,94,123,"(50, 94, 123)",1
50,51,94,"(50, 51, 94)",1
50,123,94,"(50, 123, 94)",1
51,52,94,"(51, 52, 94)",1
51,94,52,"(51, 94, 52)",1
51,94,50,"(51, 94, 50)",1
155,406,276,"(155, 406, 276)",1
155,276,406,"(155, 276, 406)",1
150,46,48,"(150, 46, 48)",1
165,249,87,"(165, 249, 87)",1
166,249,87,"(166, 249, 87)",1
166,165,87,"(166, 165, 87)",1
249,87,166,"(249, 87, 166)",1
249,87,165,"(249, 87, 165)",1
249,166,87,"(249, 166, 87)",1
249,165,87,"(249, 165, 87)",1
165,87,166,"(165, 87, 166)",1
165,87,249,"(165, 87, 249)",1
165,166,87,"(165, 166, 87)",1
31,48,150,"(31, 48, 150)",1
150,48,46,"(150, 48, 46)",1
31,150,48,"(31, 150, 48)",1
48,31,150,"(48, 31, 150)",1
48,46,150,"(48, 46, 150)",1
48,150,31,"(48, 150, 31)",1
48,150,46,"(48, 150, 46)",1
46,48,150,"(46, 48, 150)",1
46,150,48,"(46, 150, 48)",1
150,31,48,"(150, 31, 48)",1
150,48,31,"(150, 48, 31)",1
51,94,123,"(51, 94, 123)",1
51,50,94,"(51, 50, 94)",1
51,123,94,"(51, 123, 94)",1
374,150,225,"(374, 150, 225)",1
126,225,150,"(126, 225, 150)",1
374,126,304,"(374, 126, 304)",1
374,126,150,"(374, 126, 150)",1
374,126,225,"(374, 126, 225)",1
374,304,126,"(374, 304, 126)",1
374,304,150,"(374, 304, 150)",1
374,304,225,"(374, 304, 225)",1
374,150,126,"(374, 150, 126)",1
374,150,304,"(374, 150, 304)",1
374,225,126,"(374, 225, 126)",1
126,150,225,"(126, 150, 225)",1
374,225,304,"(374, 225, 304)",1
374,225,150,"(374, 225, 150)",1
304,126,374,"(304, 126, 374)",1
304,126,150,"(304, 126, 150)",1
304,374,126,"(304, 374, 126)",1
304,374,150,"(304, 374, 150)",1
304,374,225,"(304, 374, 225)",1
304,150,126,"(304, 150, 126)",1
304,150,374,"(304, 150, 374)",1
126,225,374,"(126, 225, 374)",1
126,150,304,"(126, 150, 304)",1
123,94,50,"(123, 94, 50)",1
417,80,256,"(417, 80, 256)",1
123,94,51,"(123, 94, 51)",1
123,50,94,"(123, 50, 94)",1
123,51,94,"(123, 51, 94)",1
272,29,386,"(272, 29, 386)",1
272,386,29,"(272, 386, 29)",1
29,272,386,"(29, 272, 386)",1
29,386,272,"(29, 386, 272)",1
386,272,29,"(386, 272, 29)",1
386,29,272,"(386, 29, 272)",1
417,256,80,"(417, 256, 80)",1
126,150,374,"(126, 150, 374)",1
80,417,256,"(80, 417, 256)",1
80,256,417,"(80, 256, 417)",1
256,417,80,"(256, 417, 80)",1
256,80,417,"(256, 80, 417)",1
126,374,304,"(126, 374, 304)",1
126,374,150,"(126, 374, 150)",1
126,374,225,"(126, 374, 225)",1
126,304,374,"(126, 304, 374)",1
126,304,150,"(126, 304, 150)",1
329,108,295,"(329, 108, 295)",1
329,295,42,"(329, 295, 42)",1
142,271,155,"(142, 271, 155)",1
235,438,356,"(235, 438, 356)",1
201,164,156,"(201, 164, 156)",1
201,164,89,"(201, 164, 89)",1
201,154,164,"(201, 154, 164)",1
201,154,89,"(201, 154, 89)",1
201,156,164,"(201, 156, 164)",1
201,156,89,"(201, 156, 89)",1
201,89,164,"(201, 89, 164)",1
201,89,154,"(201, 89, 154)",1
201,89,156,"(201, 89, 156)",1
156,164,154,"(156, 164, 154)",1
156,164,201,"(156, 164, 201)",1
156,164,89,"(156, 164, 89)",1
156,154,164,"(156, 154, 164)",1
156,154,89,"(156, 154, 89)",1
156,201,164,"(156, 201, 164)",1
156,201,89,"(156, 201, 89)",1
156,89,164,"(156, 89, 164)",1
156,89,154,"(156, 89, 154)",1
156,89,201,"(156, 89, 201)",1
89,164,154,"(89, 164, 154)",1
89,164,201,"(89, 164, 201)",1
201,164,154,"(201, 164, 154)",1
154,89,156,"(154, 89, 156)",1
154,89,201,"(154, 89, 201)",1
164,156,89,"(164, 156, 89)",1
235,356,438,"(235, 356, 438)",1
164,154,201,"(164, 154, 201)",1
164,154,156,"(164, 154, 156)",1
164,154,89,"(164, 154, 89)",1
164,201,154,"(164, 201, 154)",1
164,201,156,"(164, 201, 156)",1
164,201,89,"(164, 201, 89)",1
164,156,154,"(164, 156, 154)",1
164,156,201,"(164, 156, 201)",1
164,89,154,"(164, 89, 154)",1
154,89,164,"(154, 89, 164)",1
164,89,201,"(164, 89, 201)",1
164,89,156,"(164, 89, 156)",1
154,164,201,"(154, 164, 201)",1
154,164,156,"(154, 164, 156)",1
154,164,89,"(154, 164, 89)",1
154,201,164,"(154, 201, 164)",1
154,201,89,"(154, 201, 89)",1
154,156,164,"(154, 156, 164)",1
154,156,89,"(154, 156, 89)",1
89,164,156,"(89, 164, 156)",1
89,154,164,"(89, 154, 164)",1
89,154,201,"(89, 154, 201)",1
43,337,226,"(43, 337, 226)",1
226,262,337,"(226, 262, 337)",1
226,262,43,"(226, 262, 43)",1
226,337,262,"(226, 337, 262)",1
226,337,43,"(226, 337, 43)",1
226,43,262,"(226, 43, 262)",1
226,43,337,"(226, 43, 337)",1
43,262,337,"(43, 262, 337)",1
43,262,226,"(43, 262, 226)",1
43,337,262,"(43, 337, 262)",1
43,226,262,"(43, 226, 262)",1
337,43,262,"(337, 43, 262)",1
43,226,337,"(43, 226, 337)",1
201,317,150,"(201, 317, 150)",1
201,150,317,"(201, 150, 317)",1
317,201,150,"(317, 201, 150)",1
317,150,201,"(317, 150, 201)",1
150,201,317,"(150, 201, 317)",1
150,317,201,"(150, 317, 201)",1
4,24,147,"(4, 24, 147)",1
4,25,147,"(4, 25, 147)",1
337,43,226,"(337, 43, 226)",1
337,226,43,"(337, 226, 43)",1
89,154,156,"(89, 154, 156)",1
125,179,93,"(125, 179, 93)",1
89,201,164,"(89, 201, 164)",1
89,201,154,"(89, 201, 154)",1
89,201,156,"(89, 201, 156)",1
89,156,164,"(89, 156, 164)",1
89,156,154,"(89, 156, 154)",1
89,156,201,"(89, 156, 201)",1
93,125,179,"(93, 125, 179)",1
93,179,125,"(93, 179, 125)",1
125,93,179,"(125, 93, 179)",1
179,93,125,"(179, 93, 125)",1
337,226,262,"(337, 226, 262)",1
179,125,93,"(179, 125, 93)",1
262,337,226,"(262, 337, 226)",1
262,337,43,"(262, 337, 43)",1
262,226,337,"(262, 226, 337)",1
262,226,43,"(262, 226, 43)",1
262,43,337,"(262, 43, 337)",1
262,43,226,"(262, 43, 226)",1
337,262,226,"(337, 262, 226)",1
337,262,43,"(337, 262, 43)",1
235,356,1,"(235, 356, 1)",1
235,438,1,"(235, 438, 1)",1
329,42,295,"(329, 42, 295)",1
235,1,356,"(235, 1, 356)",1
308,110,164,"(308, 110, 164)",1
308,164,110,"(308, 164, 110)",1
308,164,195,"(308, 164, 195)",1
308,195,164,"(308, 195, 164)",1
164,110,308,"(164, 110, 308)",1
164,110,195,"(164, 110, 195)",1
164,308,110,"(164, 308, 110)",1
164,308,195,"(164, 308, 195)",1
164,195,110,"(164, 195, 110)",1
164,195,308,"(164, 195, 308)",1
195,110,164,"(195, 110, 164)",1
195,308,164,"(195, 308, 164)",1
195,164,110,"(195, 164, 110)",1
195,164,308,"(195, 164, 308)",1
14,1,121,"(14, 1, 121)",1
14,1,429,"(14, 1, 429)",1
14,121,1,"(14, 121, 1)",1
14,121,429,"(14, 121, 429)",1
14,429,1,"(14, 429, 1)",1
14,429,121,"(14, 429, 121)",1
1,14,121,"(1, 14, 121)",1
110,195,164,"(110, 195, 164)",1
110,164,195,"(110, 164, 195)",1
110,164,308,"(110, 164, 308)",1
295,42,108,"(295, 42, 108)",1
108,329,295,"(108, 329, 295)",1
108,295,329,"(108, 295, 329)",1
108,295,42,"(108, 295, 42)",1
108,42,295,"(108, 42, 295)",1
295,329,108,"(295, 329, 108)",1
295,329,42,"(295, 329, 42)",1
295,108,329,"(295, 108, 329)",1
295,108,42,"(295, 108, 42)",1
295,42,329,"(295, 42, 329)",1
42,329,295,"(42, 329, 295)",1
110,308,164,"(110, 308, 164)",1
42,108,295,"(42, 108, 295)",1
42,295,329,"(42, 295, 329)",1
42,295,108,"(42, 295, 108)",1
87,301,192,"(87, 301, 192)",1
87,192,301,"(87, 192, 301)",1
301,87,192,"(301, 87, 192)",1
301,192,87,"(301, 192, 87)",1
192,87,301,"(192, 87, 301)",1
192,301,87,"(192, 301, 87)",1
1,14,429,"(1, 14, 429)",1
1,121,14,"(1, 121, 14)",1
1,121,429,"(1, 121, 429)",1
438,356,1,"(438, 356, 1)",1
357,258,324,"(357, 258, 324)",1
1,438,356,"(1, 438, 356)",1
1,438,235,"(1, 438, 235)",1
1,356,438,"(1, 356, 438)",1
1,356,235,"(1, 356, 235)",1
1,235,438,"(1, 235, 438)",1
1,235,356,"(1, 235, 356)",1
438,1,356,"(438, 1, 356)",1
438,1,235,"(438, 1, 235)",1
438,356,235,"(438, 356, 235)",1
258,357,324,"(258, 357, 324)",1
438,235,1,"(438, 235, 1)",1
438,235,356,"(438, 235, 356)",1
356,1,438,"(356, 1, 438)",1
356,1,235,"(356, 1, 235)",1
356,438,1,"(356, 438, 1)",1
356,438,235,"(356, 438, 235)",1
356,235,1,"(356, 235, 1)",1
356,235,438,"(356, 235, 438)",1
235,1,438,"(235, 1, 438)",1
357,324,258,"(357, 324, 258)",1
258,324,357,"(258, 324, 357)",1
1,429,14,"(1, 429, 14)",1
429,1,14,"(429, 1, 14)",1
1,429,121,"(1, 429, 121)",1
121,14,1,"(121, 14, 1)",1
121,14,429,"(121, 14, 429)",1
121,1,14,"(121, 1, 14)",1
121,1,429,"(121, 1, 429)",1
121,429,14,"(121, 429, 14)",1
121,429,1,"(121, 429, 1)",1
429,14,1,"(429, 14, 1)",1
429,14,121,"(429, 14, 121)",1
429,1,121,"(429, 1, 121)",1
324,357,258,"(324, 357, 258)",1
429,121,14,"(429, 121, 14)",1
429,121,1,"(429, 121, 1)",1
438,325,102,"(438, 325, 102)",1
438,102,325,"(438, 102, 325)",1
325,438,102,"(325, 438, 102)",1
325,102,438,"(325, 102, 438)",1
102,438,325,"(102, 438, 325)",1
102,325,438,"(102, 325, 438)",1
324,258,357,"(324, 258, 357)",1
166,87,165,"(166, 87, 165)",1
166,87,249,"(166, 87, 249)",1
87,165,249,"(87, 165, 249)",1
395,10,12,"(395, 10, 12)",1
243,222,123,"(243, 222, 123)",1
243,123,222,"(243, 123, 222)",1
222,243,123,"(222, 243, 123)",1
222,123,243,"(222, 123, 243)",1
123,243,222,"(123, 243, 222)",1
123,222,243,"(123, 222, 243)",1
117,390,203,"(117, 390, 203)",1
117,390,58,"(117, 390, 58)",1
117,390,107,"(117, 390, 107)",1
117,203,390,"(117, 203, 390)",1
117,203,107,"(117, 203, 107)",1
117,58,390,"(117, 58, 390)",1
117,58,107,"(117, 58, 107)",1
117,107,390,"(117, 107, 390)",1
117,107,203,"(117, 107, 203)",1
117,107,58,"(117, 107, 58)",1
390,117,203,"(390, 117, 203)",1
390,117,58,"(390, 117, 58)",1
390,117,107,"(390, 117, 107)",1
